Question,Answer,output
"患者需在第一次培美曲塞给药前7日内肌内注射，以后每3个周期肌内注射一次（可与培美曲塞用药在同一日进行）的维生素是
A: 维生素B1
B: 维生素B6
C: 维生素B12
D: 叶酸
E: 烟酸
","C
患者还需在第一次本品给药前7日内肌内注射维生素B12一次，以后每3个周期肌内注射一次，以后的维生素B12给药可与本品用药在同一日进行。叶酸给药剂量：350~1000μg，常用剂量是400μg。维生素B12剂量1000μg。","C
维生素B12
因为患者需要在第一次培美曲塞给药前7日内肌内注射，以后每3个周期肌内注射一次。在这种情况下，维生素B12是常见的肌内注射维生素之一，也有助于治疗贫血和其他与维生素B12缺乏相关的疾病"
"对骨质疏松症相关的疼痛有镇痛作用，可抑制前列腺素的合成；通过中枢神经系统直接发挥中枢镇痛作用的是
A: 阿仑膦酸钠
B: 唑来膦酸
C: 帕米膦酸二钠
D: 依替膦酸二钠
E: 降钙素
","E
本题考查抑制骨吸收药的作用特点。降钙素对骨质疏松症相关的疼痛有镇痛作用，可抑制前列腺素的合成；通过中枢神经系统直接发挥中枢镇痛作用；与其具有β-内啡肽作用有关：降钙素尚能抑制枸橼酸和乳酸溶酶体酶等疼痛因子的释放，并能增强其他止痛剂的效果。","E
本题考查的是对骨质疏松症相关疼痛的镇痛作用的药物。降钙素是已知可以抑制前列腺素合成的药物，并且通过中枢神经系统发挥镇痛作用。其他选项如阿仑膦酸钠、唑来膦酸、帕米膦酸二钠和依替膦酸二钠主要是骨吸收抑制剂，虽能影响骨质疏松症的进程，但不直接发挥中枢镇痛作用。因此，降钙素是正确答案。"
"妊娠糖尿病患者，为控制血糖，主张使用
A: 二甲双胍
B: 胰岛素
C: 瑞格列奈
D: 格列苯脲
E: 格列美脲
","B
本题考查治疗糖尿病药物的适应证与禁忌。妊娠糖尿病患者，为控制血糖，主张使用胰岛素，不推荐使用二甲双胍。瑞格列奈、磺酰脲类促胰岛素分泌药（格列本脲、格列美脲）禁用于妊娠期妇女。故正确答案为B。","B
妊娠糖尿病患者需要及时控制血糖，而胰岛素是目前用于妊娠糖尿病患者的首选药物，因为它可以快速、精确地调节血糖水平，保护胎儿和孕妇的健康。其他药物如二甲双胍、瑞格列奈、格列苯脲和格列美脲在妊娠期间的应用存在一定风险，因此胰岛素是更安全的选择。"
"可用于治疗佝偻病和夜盲症的药物是
A: 维生素C
B: 维生素E
C: 维生素K1
D: 复合维生素B
E: 维生素AD复方制剂
","E
维生素AD复方制剂可用于治疗佝偻病和夜盲症、小儿抽搐症及预防维生素AD缺乏症。","E
根据提供的信息，佝偻病的治疗方式是支持性治疗，可以治疗夜盲症状。维生素AD复方制剂中包含维生素A和维生素D，可以帮助治疗夜盲症状。因此，选择E选项是正确的。"
"患春季卡他性结膜炎，可应用的药物是
A.硫酸锌滴眼液

B.利巴韦林滴眼液

C.碘苷滴眼液

D.2%色甘酸钠滴眼液

E.磺胺醋酰钠滴眼液","D
春季卡他性结膜炎可应用2%色甘酸钠滴眼液，一次1～2滴，一日4次；重症者可适当增加到一日6次。","D
根据提供的信息，春季卡他性结膜炎的治疗方式包括支持性治疗和药物治疗。色甘酸钠滴眼液被推荐用于治疗淋球菌性结膜炎、慢性卡他性结膜炎、过敏性结膜炎等眼部疾病，符合治疗春季卡他性结膜炎的要求。"
"关于便秘的用药指导和患者教育，错误的是
A: 对长期慢性便秘者，不宜长期大量使用刺激性泻药
B: 对结肠痉挛所致的便秘，可选用膨胀性或润滑性泻药
C: 乳果糖适用于肝性脑病患者及长期卧床的老年患者
D: 对痉挛性和功能性便秘者，不可选用微生态制剂
E: 在排便反射减弱引起腹胀时，应禁用硫酸镁导泻
","D
对痉挛性和功能性便秘者，也可选用微生态制剂，其成分为乳酸菌、双歧杆菌，在繁殖中会产生有机酸，使肠管内水分的分泌增加，同时肠道的酸性降低，促使大便中水分含量增多而使粪便易于排出。","D
解释：
对痉挛性和功能性便秘者，微生态制剂可起到调节肠道菌群、改善便秘症状的作用，因此可选用微生态制剂。"
"对于轻度冻疮患者，可使用的药物不包括
A: 紫云膏
B: 10%樟脑软膏（5%樟脑醑）
C: 1%烟酸肌醇酯软膏
D: 10%氧化锌软膏
E: 九华膏
","E
本题考查冻伤（疮）的外用治疗药物。治疗冻伤（疮）的药物主要是促进局部血液循环，常见的有紫云膏、樟脑软膏、氧化锌软膏、烟酸肌醇酯软膏（烟肌酯）、辣椒素软膏。伴有感染的冻伤（疮）可使用抗感染药物，如高锰酸钾溶液、红霉素软膏、林可霉素乳膏或鱼石脂软膏。九华膏是痔疮的外用治疗药物。","E
根据提供的信息，轻度冻疮患者可使用的药物包括紫云膏、10%樟脑软膏（5%樟脑醑）、1%烟酸肌醇酯软膏和10%氧化锌软膏。而九华膏并未在列出的药物中，因此不包括在可使用的药物之中。"
"由带状疱疹所致的严重后遗神经痛，可选用的药物是
A: 塞来昔布胶囊
B: 芬太尼透皮贴
C: 羟考酮缓释片
D: 卡马西平片
E: 对乙酰氨基酚片
","D
对带状疱疹所致的严重后遗神经痛可予以卡马西平、加巴喷丁、普瑞巴林、盐酸阿米 替林，严重者可做神经阻滞或椎旁神经封闭。","C
根据医学知识图谱中的信息，对于由带状疱疹所致的严重后遗神经痛，可选用的药物是羟考酮缓释片。羟考酮是一种镇痛药，常用于神经痛的治疗，可以有效缓解神经痛引起的疼痛症状。其他选项中，塞来昔布胶囊用于治疗肛肠息肉，芬太尼透皮贴主要用于急性剧痛，卡马西平片用于妄想症，对乙酰氨基酚片主要用于缓解壮热，不适合用于治疗严重后遗神经痛。"
"患者近期出现双手关节肿胀、疼痛，伴晨僵，诊断为类风湿关节炎，应选用的药物是
A: 对乙酰氨基酚片
B: 芬太尼透皮贴剂
C: 羟考酮缓释片
D: 卡马西平片
E: 塞来昔布胶囊
","E
本题考查疼痛治疗药物。类风湿关节炎可选用塞来昔布抗炎、止痛。带状疱疹后遗神经痛和三叉神经痛均属“神经痛”范畴，使用卡马西平治疗。","E
类风湿关节炎的治疗常采用非甾体抗炎药（NSAIDs）、免疫抑制剂、生物制剂等。塞来昔布胶囊是一种生物制剂，常用于治疗类风湿关节炎。"
"阿米洛利和噻嗪类药物合用，增加的风险是
A: 高钾血症
B: 高尿酸血症
C: 高钙血症
D: 高钠血症
E: 高镁血症
","C
本题考查留钾利尿药的注意事项。阿米洛利也减少Ca2+和Mg2+的排泄井增加尿酸排泄，当与噻嗪类药物合用时可减少高尿酸血症发生；但增加高钙血症发生风险。故正确答案为C。","B: 高尿酸血症
根据证据2中提到的信息，吩噻嗪类药物中毒可能导致高尿酸血症肾病，而合用阿米洛利和噻嗪类药物可能增加这种风险。因此，正确答案为高尿酸血症。"
