Question,Label,my_results,precision,recall,f1
"Doctor, I have been experiencing sudden and frequent panic attacks. I don't know what to do.","Well, based on what you're telling me, it sounds like you may be suffering from panic disorder. The best course of action is to start with psychotherapy and mental health counseling. Additionally, we should conduct an electrocardiogram to make sure that there are no physical issues causing your panic attacks. We will also need to perform a depression screen and a toxicology screen to rule out any other underlying causes. Finally, I would recommend a comprehensive psychological and psychiatric evaluation and therapy to help manage your symptoms.","Based on the symptoms you described, it appears that you may be experiencing panic attacks, which can be a sign of panic disorder. To confirm the diagnosis, it would be beneficial to consult with a mental health professional or psychiatrist who can conduct a thorough evaluation. Tests such as a psychological assessment or a physical exam may also be recommended to rule out any underlying medical conditions.

For the treatment of panic disorder, a combination of therapy and medication is often recommended. Cognitive-behavioral therapy (CBT) is a common form of therapy that can help you learn coping mechanisms to manage panic attacks. Medications such as selective serotonin reuptake inhibitors (SSRIs) or benzodiazepines may also be prescribed by a healthcare provider to help alleviate symptoms.
",0.8075122833251953,0.8380700945854187,0.8225074410438538
"Doctor, I have been experiencing a hoarse voice for a few weeks now and it's not getting any better despite taking medication. What could be the problem?","It's possible that you have a vocal cord polyp. To confirm this, we need to conduct tracheoscopy and laryngoscopy with a biopsy. We may also need to conduct an occupational therapy assessment such as speech therapy, other diagnostic procedures like an interview or consultation, physical therapy exercises, as well as diagnostic procedures on your nose, mouth, and pharynx to rule out any other underlying conditions. Additionally, we may need to evaluate your eyes and ears for any related conditions, such as ophthalmologic and otologic diagnosis and treatment.","Based on the symptoms described, the patient may have Turner syndrome. To confirm the diagnosis, the patient should undergo genetic testing for the presence of missing or partially deleted X chromosome, as this is the main characteristic of Turner syndrome. Additional tests may include a physical examination of the breast, evaluation for uterine fibroids, and assessment of infertility. Recommended medications for Turner syndrome are hormone replacement therapy to address hormone deficiencies and growth hormone therapy to improve height potential. Management may also involve addressing associated symptoms such as hearing loss.",0.7907567024230957,0.791770339012146,0.7912631630897522
"Hi, Doctor. I think I might have Turner syndrome. ","Okay, in that case, you will need to undergo a complete physical skin exam, an ultrasonography, and some other diagnostic procedures such as an interview, evaluation, and consultation. Additionally, we'll need to perform an echocardiography, examine your breast, and check your eyes and ears for any issues. We'll also do a depression screening to assess your mental health.","Based on the symptoms described, the patient may have Turner syndrome. To confirm the diagnosis, the patient should undergo a complete physical skin exam. Treatment for Turner syndrome involves hormone replacement therapy (HRT) to address hormone deficiencies and growth hormone therapy to promote growth. Regular monitoring and management of associated symptoms are also important.
",0.7885257005691528,0.7953729033470154,0.7919345498085022
"Doctor, I've been experiencing a condition called cryptorchidism. My testicles have not descended properly into the scrotum. What medical tests do I need to take?","You will need to undergo a complete physical skin exam to see the extent of the undescended testicles. Then, we need to conduct Ultrasonography (Ultrasound) to find out the exact location of the testicles. After that, a pelvis exam and rectal examination will be done to determine if the testicles have descended into the pelvic region. If not, then other OR therapeutic procedures related to male genital or nervous system procedures may be required. We will also do an occupational therapy assessment to assess your speech therapy.","Based on the symptoms described, the patient likely has cryptorchidism, a condition where the testicles do not descend properly into the scrotum. To confirm the diagnosis, the patient should undergo a physical examination of the scrotum and testes, as well as an ultrasound (Ultrasonography). Treatment for cryptorchidism typically involves surgery known as orchidopexy, where the undescended testicle is brought down into the scrotum and fixed in place. Surgery is usually recommended before the age of 18 months to prevent potential complications and preserve fertility.",0.7902798056602478,0.8110617399215698,0.8005359172821045
"Doctor, I think I've been poisoned. I drank some ethylene glycol by mistake. ","I'm sorry to hear that. We need to run a few tests to determine the extent of the poisoning. We will need to give you intravenous fluid replacement to help flush out the toxin. We'll also need to do hematologic tests, a toxicology screen, and a complete blood count to assess the damage. Additionally, we will need to do an electrocardiogram, measure your glucose level and check your blood-alcohol level.","Based on the symptoms described, the patient likely has ethylene glycol poisoning. To confirm the diagnosis, the patient should undergo tests such as serum electrolytes, renal function tests, and possibly a serum osmolality test to check for metabolic acidosis and the presence of ethylene glycol in the system. Recommended medications for ethylene glycol poisoning include intravenous fluids, fomepizole or ethanol as antidotes, and supportive care to manage symptoms. In severe cases, hemodialysis may be necessary to remove the toxin from the bloodstream.
",0.7703313827514648,0.7987893223762512,0.784302294254303
"Doctor, I've been having discomfort and dryness in my vagina for a while now. I also experience pain during sex. What could be the problem and what tests do I need?","Based on your symptoms, it sounds like you may have atrophic vaginitis. To confirm this, we would need to perform a pelvic exam, a pap smear and a urinalysis. Additionally, to rule out any underlying conditions and ensure comprehensive preventive care, I would recommend a mammogram, breast examination, rectal examination and a complete physical skin exam.","Based on the symptoms described, the patient may have Atrophic vaginitis, which can cause discomfort, dryness in the vagina, and pain during sex. To confirm the diagnosis, the patient should undergo a pelvic exam and possibly a vaginal swab to test for any infections. Recommended medications for Atrophic vaginitis include estrogen therapy in the form of vaginal creams, tablets, or rings to help restore vaginal moisture and relieve symptoms. It is essential to follow up with a healthcare provider for proper evaluation and treatment.
",0.8267042636871338,0.8541527986526489,0.8402044177055359
"Hello doctor, I think I fractured my hand while playing basketball. It hurts a lot and I can't move it properly.","I'm sorry to hear that. Based on your symptoms, I recommend we conduct a radiographic imaging procedure, specifically a plain x-ray, to determine the extent and location of the fracture. We may also need to apply a splint or orthopedic casting to support and immobilize the bone while it heals. In addition, we may consider traction, other wound care, and physical therapy exercises to promote healing and improve mobility.","Based on the symptoms described, the patient may have a fracture of the hand. To confirm the diagnosis, the patient should undergo a plain X-ray of the hand to check for any fractures. Treatment for a hand fracture may include immobilization with a cast or splint and pain management with over-the-counter pain medications like acetaminophen or ibuprofen. In some cases, surgery may be necessary to realign the bones.
",0.8225046396255493,0.8203818798065186,0.8214418888092041
"Hi Doctor, I have a problem with my mouth. It's painful and there's swelling around it. It's difficult to eat or talk properly.","It sounds like you might have cellulitis or an abscess in your mouth. As a first step, we need to perform a complete physical skin exam to determine the extent of the issue. Depending on the severity of the condition, we might need to perform an excision or incision and drainage. We might also need to do a biopsy to determine the underlying cause. Additionally, wound care management and a culture of the wound may be necessary. If the condition is more severe, we might have to consider other therapeutic procedures on your nose, mouth, and pharynx.","Based on the symptoms described, the patient may have a Cellulitis or abscess of the mouth. To confirm the diagnosis, the patient should undergo a complete physical skin exam and possibly an excision procedure. Recommended medications for Cellulitis or abscess of the mouth include antibiotics such as penicillin or clindamycin to treat the infection. It is also recommended to maintain good oral hygiene and apply warm compresses to the affected area.
",0.8388760089874268,0.8233626484870911,0.8310469388961792
"Doctor, I have been having trouble with my eye alignment lately. I often see double and feel eye strain, especially when I read or look at something for a long time. ","Based on your symptoms, it seems like you might have an eye alignment disorder. I recommend that we conduct an ophthalmologic and otologic diagnosis and treatment to properly diagnose your condition. This will involve an eye exam and an evaluation of your ears to assess any potential underlying issues. Additionally, we may need to conduct other diagnostic procedures such as interviews and consultations to get a better understanding of your medical history and any other factors that may be contributing to your symptoms. Once we have a diagnosis, we can explore other therapeutic procedures to treat the problem, such as procedures on your eyelids, conjunctiva, cornea, extraocular muscles, and orbit. Depending on your specific situation, an occupational therapy assessment such as speech therapy may also be recommended to address any related functional impairments.","Based on the symptoms described, the patient may have an eye alignment disorder, possibly due to underlying conditions such as glaucoma or corneal disorders. To confirm the diagnosis, the patient should undergo an ophthalmic examination and evaluation, which may include tests such as a visual field test and intraocular pressure measurement. Recommended medications for glaucoma include Bimatoprost Ophthalmic to help reduce eye pressure. Treatment for corneal disorders may vary based on the specific condition identified during the evaluation.
",0.8337152004241943,0.8041454553604126,0.8186633586883545
"Doctor, I have been experiencing headaches after my recent lumbar puncture. What tests do I need to take?","Based on your symptoms, we would need to perform a number of tests. These include an intravenous fluid replacement, a complete blood count (CBC), hematologic tests, an electrolytes panel, glucose measurement, kidney function tests, and liver function tests. These tests will help us to determine the cause of your headaches and develop an appropriate treatment plan.","Based on the symptoms described, the patient may have a headache after a lumbar puncture. To confirm the diagnosis, the patient should undergo a physical examination and possibly a CT scan or MRI to rule out any complications such as intracranial hemorrhage. Recommended medications for intracranial hemorrhage include Desmopressin to help manage the condition.
",0.7848548889160156,0.7883432507514954,0.7865952849388123
Averages,,,0.8054060876369477,0.8125450432300567,0.8088495254516601
