Question,Label,Output1,output_precision,output_recall,output_f1
"Doctor, I have been experiencing sudden and frequent panic attacks. I don't know what to do.","Well, based on what you're telling me, it sounds like you may be suffering from panic disorder. The best course of action is to start with psychotherapy and mental health counseling. Additionally, we should conduct an electrocardiogram to make sure that there are no physical issues causing your panic attacks. We will also need to perform a depression screen and a toxicology screen to rule out any other underlying causes. Finally, I would recommend a comprehensive psychological and psychiatric evaluation and therapy to help manage your symptoms.","Based on the symptoms you described, it seems that you may be experiencing panic attacks, which could be indicative of a panic disorder. To confirm the diagnosis, you should consider undergoing a psychological evaluation and possibly a toxicology screen to rule out any substance-related causes.

For the treatment of panic disorder, psychotherapy and mental health counseling are often recommended. In some cases, medications such as selective serotonin reuptake inhibitors (SSRIs) or benzodiazepines may be prescribed to help manage symptoms and prevent further panic attacks. It is important to consult with a healthcare professional for an accurate diagnosis and personalized treatment plan.",0.8313963413238525,0.8539139032363892,0.8425047397613525
"Doctor, I have been experiencing a hoarse voice for a few weeks now and it's not getting any better despite taking medication. What could be the problem?","It's possible that you have a vocal cord polyp. To confirm this, we need to conduct tracheoscopy and laryngoscopy with a biopsy. We may also need to conduct an occupational therapy assessment such as speech therapy, other diagnostic procedures like an interview or consultation, physical therapy exercises, as well as diagnostic procedures on your nose, mouth, and pharynx to rule out any other underlying conditions. Additionally, we may need to evaluate your eyes and ears for any related conditions, such as ophthalmologic and otologic diagnosis and treatment.","Based on the symptoms described, the patient may have vocal cord polyp, which could be causing the hoarse voice. To confirm the diagnosis, the patient should undergo a laryngoscopy, which is an examination of the vocal cords. Recommended medications for vocal cord polyp may include voice rest, speech therapy, and in some cases, surgical removal of the polyp.",0.8354771137237549,0.7958999872207642,0.8152084946632385
"Hi, Doctor. I think I might have Turner syndrome. ","Okay, in that case, you will need to undergo a complete physical skin exam, an ultrasonography, and some other diagnostic procedures such as an interview, evaluation, and consultation. Additionally, we'll need to perform an echocardiography, examine your breast, and check your eyes and ears for any issues. We'll also do a depression screening to assess your mental health.","Based on the symptoms described, the patient might have Turner syndrome. To confirm the diagnosis, the patient should undergo tests such as a complete physical skin exam, ultrasonography, echocardiography, and a depression screen. Recommended medications for Turner syndrome may include Ascorbic Acid, Nifedipine, Phenazopyridine, Somatropin, and others depending on the specific symptoms and needs of the patient.",0.7758020162582397,0.8234446048736572,0.7989136576652527
"Doctor, I've been experiencing a condition called cryptorchidism. My testicles have not descended properly into the scrotum. What medical tests do I need to take?","You will need to undergo a complete physical skin exam to see the extent of the undescended testicles. Then, we need to conduct Ultrasonography (Ultrasound) to find out the exact location of the testicles. After that, a pelvis exam and rectal examination will be done to determine if the testicles have descended into the pelvic region. If not, then other OR therapeutic procedures related to male genital or nervous system procedures may be required. We will also do an occupational therapy assessment to assess your speech therapy.","Based on the symptoms described by the patient, cryptorchidism is the condition where one or both testicles have not descended properly into the scrotum. To confirm the diagnosis of cryptorchidism, the patient should undergo a physical examination by a healthcare provider. In some cases, an ultrasound may be recommended to locate the position of the undescended testicle.",0.8097803592681885,0.8108963966369629,0.810338020324707
"Doctor, I think I've been poisoned. I drank some ethylene glycol by mistake. ","I'm sorry to hear that. We need to run a few tests to determine the extent of the poisoning. We will need to give you intravenous fluid replacement to help flush out the toxin. We'll also need to do hematologic tests, a toxicology screen, and a complete blood count to assess the damage. Additionally, we will need to do an electrocardiogram, measure your glucose level and check your blood-alcohol level.","Based on the symptoms described, the patient likely has poisoning due to ethylene glycol. To confirm the diagnosis, the patient should undergo toxicology screening and a complete blood count (CBC).

Recommended medications for ethylene glycol poisoning include haloperidol, olanzapine (Zyprexa), magnesium sulfate, and activated charcoal. It is also essential to provide supportive care and intravenous fluid replacement.
",0.7740374803543091,0.7952557802200317,0.7845032215118408
"Doctor, I've been having discomfort and dryness in my vagina for a while now. I also experience pain during sex. What could be the problem and what tests do I need?","Based on your symptoms, it sounds like you may have atrophic vaginitis. To confirm this, we would need to perform a pelvic exam, a pap smear and a urinalysis. Additionally, to rule out any underlying conditions and ensure comprehensive preventive care, I would recommend a mammogram, breast examination, rectal examination and a complete physical skin exam.","Based on the symptoms described, the patient may have Atrophic vaginitis. To confirm the diagnosis, the patient should undergo a Pelvis exam and Urinalysis. Recommended medications for Atrophic vaginitis include Betamethasone-Clotrimazole Topical cream for local application, as well as Estrogens like Estradiol or Conjugated Estrogens (Premarin) for systemic treatment.",0.8098453283309937,0.8406434655189514,0.824957013130188
"Hello doctor, I think I fractured my hand while playing basketball. It hurts a lot and I can't move it properly.","I'm sorry to hear that. Based on your symptoms, I recommend we conduct a radiographic imaging procedure, specifically a plain x-ray, to determine the extent and location of the fracture. We may also need to apply a splint or orthopedic casting to support and immobilize the bone while it heals. In addition, we may consider traction, other wound care, and physical therapy exercises to promote healing and improve mobility.","Based on the symptoms described, the patient likely has a fractured hand. To confirm the diagnosis, the patient should undergo a medical test called a plain x-ray (X-ray) of the affected hand. The recommended treatment for a fractured hand typically involves immobilization with a splint or cast. Pain management medications like acetaminophen or ibuprofen may also be prescribed to help with pain relief.",0.828582227230072,0.817704439163208,0.8231073617935181
"Hi Doctor, I have a problem with my mouth. It's painful and there's swelling around it. It's difficult to eat or talk properly.","It sounds like you might have cellulitis or an abscess in your mouth. As a first step, we need to perform a complete physical skin exam to determine the extent of the issue. Depending on the severity of the condition, we might need to perform an excision or incision and drainage. We might also need to do a biopsy to determine the underlying cause. Additionally, wound care management and a culture of the wound may be necessary. If the condition is more severe, we might have to consider other therapeutic procedures on your nose, mouth, and pharynx.","Based on the symptoms described, the patient may have a cellulitis or abscess of the mouth. To confirm the diagnosis, the patient should undergo a complete physical skin exam, including excision or removal of the affected area. Recommended medications for cellulitis or abscess of the mouth include antibiotics such as ampicillin and metronidazole to treat the infection.",0.8402650356292725,0.8157868981361389,0.8278450965881348
"Doctor, I have been having trouble with my eye alignment lately. I often see double and feel eye strain, especially when I read or look at something for a long time. ","Based on your symptoms, it seems like you might have an eye alignment disorder. I recommend that we conduct an ophthalmologic and otologic diagnosis and treatment to properly diagnose your condition. This will involve an eye exam and an evaluation of your ears to assess any potential underlying issues. Additionally, we may need to conduct other diagnostic procedures such as interviews and consultations to get a better understanding of your medical history and any other factors that may be contributing to your symptoms. Once we have a diagnosis, we can explore other therapeutic procedures to treat the problem, such as procedures on your eyelids, conjunctiva, cornea, extraocular muscles, and orbit. Depending on your specific situation, an occupational therapy assessment such as speech therapy may also be recommended to address any related functional impairments.","Based on the symptoms described, the patient may have an eye alignment disorder, which is causing double vision and eye strain, especially during prolonged reading or focusing. To confirm the diagnosis, the patient should undergo an ophthalmic examination and evaluation (eye exam) to assess the alignment of the eyes and rule out other possible conditions. Recommended medications for treating eye alignment disorders may include cycloplegic agents like Atropine or Tropicamide to help relax the eye muscles and improve alignment. It is essential to follow the guidance of an eye care professional for appropriate treatment.",0.8217548131942749,0.8061214685440063,0.8138630986213684
"Doctor, I have been experiencing headaches after my recent lumbar puncture. What tests do I need to take?","Based on the symptoms described, the patient is experiencing headaches after a recent lumbar puncture. This condition is often referred to as post-lumbar puncture headache (PLPH). To confirm the diagnosis of PLPH, the patient may undergo the following tests:

1. Complete blood count (CBC) to check for any signs of infection or other abnormalities.
2. Electrolyte panel to assess the levels of essential minerals in the body.
3. Glucose measurement to ensure blood sugar levels are stable.
4. Kidney function tests to evaluate kidney health.
5. Liver function tests to assess liver function.

Recommended medications to manage post-lumbar puncture headaches include:

1. Intravenous fluid replacement to ensure hydration and help alleviate headaches.
2. Pain relievers such as acetaminophen or ibuprofen to manage headache pain.
3. Caffeine can also help alleviate post-lumbar puncture headaches by constricting blood vessels in the brain.
4. If the headaches are severe, your doctor may prescribe medications such as sumatriptan or ergotamine derivatives.","Based on the symptoms of experiencing headaches after a recent lumbar puncture, the patient might be suffering from a post-dural puncture headache (PDPH). To confirm this diagnosis, the patient may need to undergo a physical examination and possibly a diagnostic test called a blood patch procedure, where a small amount of the patient's blood is injected into the epidural space to seal the puncture site.

Recommended medications to help alleviate post-dural puncture headaches include:

1. Caffeine: It can help constrict blood vessels and reduce headache symptoms.
2. Zolmitriptan (Zomig): It is a medication used to treat migraines and may be helpful in managing headache symptoms.
3. Dexamethasone: This is a steroid medication that can help reduce inflammation and relieve pain.
4. Prochlorperazine (Compro): It is an anti-nausea medication that can also help with headache relief.",0.8497601747512817,0.8429257273674011,0.8463291525840759
