Question,Label,LLMDoctor_result,precision,recall,f1
"Doctor, I have been experiencing sudden and frequent panic attacks. I don't know what to do.","Well, based on what you're telling me, it sounds like you may be suffering from panic disorder. The best course of action is to start with psychotherapy and mental health counseling. Additionally, we should conduct an electrocardiogram to make sure that there are no physical issues causing your panic attacks. We will also need to perform a depression screen and a toxicology screen to rule out any other underlying causes. Finally, I would recommend a comprehensive psychological and psychiatric evaluation and therapy to help manage your symptoms.","
Based on the symptoms described, the patient may have panic disorder. To confirm the diagnosis, medical tests such as psychological and psychiatric evaluation and therapy may be needed. Recommended medications for panic disorder include fluvoxamine (Luvox), clomipramine, and acamprosate (Campral).

",0.7960156798362732,0.7817607522010803,0.7888238430023193
"Doctor, I have been experiencing a hoarse voice for a few weeks now and it's not getting any better despite taking medication. What could be the problem?","It's possible that you have a vocal cord polyp. To confirm this, we need to conduct tracheoscopy and laryngoscopy with a biopsy. We may also need to conduct an occupational therapy assessment such as speech therapy, other diagnostic procedures like an interview or consultation, physical therapy exercises, as well as diagnostic procedures on your nose, mouth, and pharynx to rule out any other underlying conditions. Additionally, we may need to evaluate your eyes and ears for any related conditions, such as ophthalmologic and otologic diagnosis and treatment.","
Based on the symptoms described, the patient may have laryngitis, which is inflammation of the vocal cords. To confirm the diagnosis, the patient should undergo a physical examination of the throat and possibly a laryngoscopy, which is an examination of the vocal cords using a scope. Recommended medications for laryngitis include anti-inflammatory drugs such as ibuprofen, as well as steroids to reduce inflammation. It is also recommended to rest the voice and avoid smoking and irritants.

",0.8048405051231384,0.7995995283126831,0.8022115230560303
"Hi, Doctor. I think I might have Turner syndrome. ","Okay, in that case, you will need to undergo a complete physical skin exam, an ultrasonography, and some other diagnostic procedures such as an interview, evaluation, and consultation. Additionally, we'll need to perform an echocardiography, examine your breast, and check your eyes and ears for any issues. We'll also do a depression screening to assess your mental health.","
Based on the symptoms described, it is likely that the patient has Turner syndrome, which is a genetic disorder that affects females. To confirm the diagnosis, the patient should undergo a karyotype test, which examines the chromosomes. Recommended medications for Turner syndrome may include growth hormone therapy, estrogen replacement therapy, and other hormone treatments.

",0.7582527995109558,0.7836534380912781,0.7707439064979553
"Doctor, I've been experiencing a condition called cryptorchidism. My testicles have not descended properly into the scrotum. What medical tests do I need to take?","You will need to undergo a complete physical skin exam to see the extent of the undescended testicles. Then, we need to conduct Ultrasonography (Ultrasound) to find out the exact location of the testicles. After that, a pelvis exam and rectal examination will be done to determine if the testicles have descended into the pelvic region. If not, then other OR therapeutic procedures related to male genital or nervous system procedures may be required. We will also do an occupational therapy assessment to assess your speech therapy.","
Based on the patient's symptoms, it appears that the patient has cryptorchidism, which is a condition where the testicles do not descend properly into the scrotum. To confirm the diagnosis, the patient should undergo a physical examination of the testicles. If the diagnosis is confirmed, the recommended treatment is surgery to move the testicles into the proper position.

",0.8067948818206787,0.7988299131393433,0.8027926683425903
"Doctor, I think I've been poisoned. I drank some ethylene glycol by mistake. ","I'm sorry to hear that. We need to run a few tests to determine the extent of the poisoning. We will need to give you intravenous fluid replacement to help flush out the toxin. We'll also need to do hematologic tests, a toxicology screen, and a complete blood count to assess the damage. Additionally, we will need to do an electrocardiogram, measure your glucose level and check your blood-alcohol level.","
Based on the symptoms described, the patient may have ethylene glycol poisoning. To confirm the diagnosis, the patient should undergo medical tests such as toxicology screen, complete blood count (CBC), and blood alcohol measurement. The recommended medications for ethylene glycol poisoning include fomepizole and ethanol, which can help prevent the formation of toxic metabolites.

",0.7821018099784851,0.7874058485031128,0.784744918346405
"Doctor, I've been having discomfort and dryness in my vagina for a while now. I also experience pain during sex. What could be the problem and what tests do I need?","Based on your symptoms, it sounds like you may have atrophic vaginitis. To confirm this, we would need to perform a pelvic exam, a pap smear and a urinalysis. Additionally, to rule out any underlying conditions and ensure comprehensive preventive care, I would recommend a mammogram, breast examination, rectal examination and a complete physical skin exam.","
Based on the symptoms described, the patient may have vaginal atrophy, which is a thinning, drying, and inflammation of the vaginal walls due to a decrease in estrogen levels. To confirm the diagnosis, the patient should undergo a pelvic exam and possibly a Pap smear or urinalysis. Recommended medications for vaginal atrophy include estrogen therapy in the form of vaginal creams, tablets, or rings.

",0.8245445489883423,0.8497437238693237,0.8369544744491577
"Hello doctor, I think I fractured my hand while playing basketball. It hurts a lot and I can't move it properly.","I'm sorry to hear that. Based on your symptoms, I recommend we conduct a radiographic imaging procedure, specifically a plain x-ray, to determine the extent and location of the fracture. We may also need to apply a splint or orthopedic casting to support and immobilize the bone while it heals. In addition, we may consider traction, other wound care, and physical therapy exercises to promote healing and improve mobility.","
Based on the symptoms described, the patient may have a fracture of the hand. To confirm the diagnosis, the patient should undergo a physical examination and imaging tests such as X-rays. Recommended medications for a fracture include pain relievers such as acetaminophen or ibuprofen, and in some cases, a splint or cast may be necessary.


",0.8213034868240356,0.7961939573287964,0.8085538744926453
"Hi Doctor, I have a problem with my mouth. It's painful and there's swelling around it. It's difficult to eat or talk properly.","It sounds like you might have cellulitis or an abscess in your mouth. As a first step, we need to perform a complete physical skin exam to determine the extent of the issue. Depending on the severity of the condition, we might need to perform an excision or incision and drainage. We might also need to do a biopsy to determine the underlying cause. Additionally, wound care management and a culture of the wound may be necessary. If the condition is more severe, we might have to consider other therapeutic procedures on your nose, mouth, and pharynx.","
Based on the symptoms described, the patient may have a salivary gland disorder, which can cause gum pain and swelling around the mouth and jaw. To confirm the diagnosis, the patient should undergo a physical examination, such as a complete physical skin exam performed by machine learning, and possibly a biopsy or other diagnostic procedures. Recommended medications for salivary gland disorder may include antibiotics, anti-inflammatory drugs, and pain relievers.

",0.8197968602180481,0.8066036105155945,0.8131467700004578
"Doctor, I have been having trouble with my eye alignment lately. I often see double and feel eye strain, especially when I read or look at something for a long time. ","Based on your symptoms, it seems like you might have an eye alignment disorder. I recommend that we conduct an ophthalmologic and otologic diagnosis and treatment to properly diagnose your condition. This will involve an eye exam and an evaluation of your ears to assess any potential underlying issues. Additionally, we may need to conduct other diagnostic procedures such as interviews and consultations to get a better understanding of your medical history and any other factors that may be contributing to your symptoms. Once we have a diagnosis, we can explore other therapeutic procedures to treat the problem, such as procedures on your eyelids, conjunctiva, cornea, extraocular muscles, and orbit. Depending on your specific situation, an occupational therapy assessment such as speech therapy may also be recommended to address any related functional impairments.","
Based on the symptoms described, the patient may have a condition called strabismus, which is an eye alignment disorder. To confirm the diagnosis, the patient should undergo an eye examination, which may include a cover test or a visual acuity test. The recommended medications for strabismus depend on the cause of the condition and may include eye patches, glasses, or corrective surgery.

",0.8302323818206787,0.7784106135368347,0.8034867644309998
"Doctor, I have been experiencing headaches after my recent lumbar puncture. What tests do I need to take?","Based on your symptoms, we would need to perform a number of tests. These include an intravenous fluid replacement, a complete blood count (CBC), hematologic tests, an electrolytes panel, glucose measurement, kidney function tests, and liver function tests. These tests will help us to determine the cause of your headaches and develop an appropriate treatment plan.","
Based on the symptoms described, the patient may be experiencing headaches as a result of a complication from the lumbar puncture. To confirm the diagnosis, the patient should undergo a physical examination and imaging tests such as a CT scan or MRI. The recommended medications for post-lumbar puncture headaches include caffeine and pain relievers such as acetaminophen. If the headaches persist, a blood patch may be necessary to seal the puncture site.

",0.7791030406951904,0.7986083626747131,0.7887352108955383
