Question,Label,my_results,precision,recall,f1
"Doctor, I have been experiencing sudden and frequent panic attacks. I don't know what to do.","Well, based on what you're telling me, it sounds like you may be suffering from panic disorder. The best course of action is to start with psychotherapy and mental health counseling. Additionally, we should conduct an electrocardiogram to make sure that there are no physical issues causing your panic attacks. We will also need to perform a depression screen and a toxicology screen to rule out any other underlying causes. Finally, I would recommend a comprehensive psychological and psychiatric evaluation and therapy to help manage your symptoms.","Based on the symptoms of sudden and frequent panic attacks, the patient may have Panic Disorder. To confirm the diagnosis, the patient should undergo a thorough evaluation by a mental health professional, which may include a psychological assessment and ruling out other potential causes of the symptoms. Recommended medications for Panic Disorder include selective serotonin reuptake inhibitors (SSRIs) such as sertraline or fluoxetine, as well as benzodiazepines for short-term relief of acute anxiety symptoms. Psychotherapy such as cognitive-behavioral therapy (CBT) is also a common treatment approach for Panic Disorder.
",0.7905215620994568,0.8046590685844421,0.7975276708602905
"Doctor, I have been experiencing a hoarse voice for a few weeks now and it's not getting any better despite taking medication. What could be the problem?","It's possible that you have a vocal cord polyp. To confirm this, we need to conduct tracheoscopy and laryngoscopy with a biopsy. We may also need to conduct an occupational therapy assessment such as speech therapy, other diagnostic procedures like an interview or consultation, physical therapy exercises, as well as diagnostic procedures on your nose, mouth, and pharynx to rule out any other underlying conditions. Additionally, we may need to evaluate your eyes and ears for any related conditions, such as ophthalmologic and otologic diagnosis and treatment.","Based on the symptoms described, the patient may have vocal cord polyp, which can cause a hoarse voice that doesn't improve with medication. To confirm the diagnosis, the patient should undergo a tracheoscopy and laryngoscopy with biopsy to examine the vocal cords. Recommended medications for vocal cord polyps include Azelastine Nasal spray, which can help with chronic sinusitis that may be associated with the condition.
",0.8221499919891357,0.8013367652893066,0.8116099834442139
"Hi, Doctor. I think I might have Turner syndrome. ","Okay, in that case, you will need to undergo a complete physical skin exam, an ultrasonography, and some other diagnostic procedures such as an interview, evaluation, and consultation. Additionally, we'll need to perform an echocardiography, examine your breast, and check your eyes and ears for any issues. We'll also do a depression screening to assess your mental health.","Based on the symptoms described, the patient may have Turner syndrome. To confirm the diagnosis, the patient should undergo genetic testing for chromosomal abnormalities, particularly checking for the absence of all or part of one of the X chromosomes. Other tests may include ultrasound to evaluate the heart and kidneys, as well as hormone level testing. There is no cure for Turner syndrome, but treatment focuses on managing symptoms and may include growth hormone therapy, estrogen replacement therapy, and psychological support.
",0.7615095376968384,0.8021948337554932,0.7813228964805603
"Doctor, I've been experiencing a condition called cryptorchidism. My testicles have not descended properly into the scrotum. What medical tests do I need to take?","You will need to undergo a complete physical skin exam to see the extent of the undescended testicles. Then, we need to conduct Ultrasonography (Ultrasound) to find out the exact location of the testicles. After that, a pelvis exam and rectal examination will be done to determine if the testicles have descended into the pelvic region. If not, then other OR therapeutic procedures related to male genital or nervous system procedures may be required. We will also do an occupational therapy assessment to assess your speech therapy.","Based on the symptoms described, the patient likely has cryptorchidism, a condition where the testicles do not descend properly into the scrotum. To confirm the diagnosis, the patient should undergo an ultrasound (Ultrasonography). Treatment for cryptorchidism may involve hormone therapy or surgery, such as orchidopexy, to bring the testicles into the scrotum.
",0.8006024360656738,0.8002479672431946,0.8004252314567566
"Doctor, I think I've been poisoned. I drank some ethylene glycol by mistake. ","I'm sorry to hear that. We need to run a few tests to determine the extent of the poisoning. We will need to give you intravenous fluid replacement to help flush out the toxin. We'll also need to do hematologic tests, a toxicology screen, and a complete blood count to assess the damage. Additionally, we will need to do an electrocardiogram, measure your glucose level and check your blood-alcohol level.","Based on the symptoms described, the patient may have ethylene glycol poisoning. To confirm the diagnosis, the patient should undergo a toxicology screen to detect the presence of ethylene glycol in the system. The recommended treatment for ethylene glycol poisoning includes administering fomepizole or ethanol to inhibit the metabolism of ethylene glycol, as well as supportive care such as intravenous fluids and dialysis to remove the toxin from the body.",0.7592527270317078,0.7848995327949524,0.7718631625175476
"Doctor, I've been having discomfort and dryness in my vagina for a while now. I also experience pain during sex. What could be the problem and what tests do I need?","Based on your symptoms, it sounds like you may have atrophic vaginitis. To confirm this, we would need to perform a pelvic exam, a pap smear and a urinalysis. Additionally, to rule out any underlying conditions and ensure comprehensive preventive care, I would recommend a mammogram, breast examination, rectal examination and a complete physical skin exam.","Based on the symptoms described, the patient may have atrophic vaginitis, which can cause vaginal discomfort, dryness, and pain during sex. To confirm the diagnosis, the patient should undergo a pelvic examination and possibly a vaginal swab to check for any infections. Recommended medications for atrophic vaginitis may include estrogen therapy in the form of vaginal creams or tablets to help restore moisture to the vaginal tissues.
",0.8304120898246765,0.8468790054321289,0.8385646939277649
"Hello doctor, I think I fractured my hand while playing basketball. It hurts a lot and I can't move it properly.","I'm sorry to hear that. Based on your symptoms, I recommend we conduct a radiographic imaging procedure, specifically a plain x-ray, to determine the extent and location of the fracture. We may also need to apply a splint or orthopedic casting to support and immobilize the bone while it heals. In addition, we may consider traction, other wound care, and physical therapy exercises to promote healing and improve mobility.","Based on the symptoms described, the patient may have a fractured hand. To confirm the diagnosis, the patient should undergo an X-ray of the hand to assess the extent of the fracture. Treatment for a fractured hand typically involves immobilizing the hand with a splint or cast to allow it to heal properly. Pain relief medications such as acetaminophen or ibuprofen may be recommended to manage the pain.
",0.8357186317443848,0.8318406939506531,0.8337751030921936
"Hi Doctor, I have a problem with my mouth. It's painful and there's swelling around it. It's difficult to eat or talk properly.","It sounds like you might have cellulitis or an abscess in your mouth. As a first step, we need to perform a complete physical skin exam to determine the extent of the issue. Depending on the severity of the condition, we might need to perform an excision or incision and drainage. We might also need to do a biopsy to determine the underlying cause. Additionally, wound care management and a culture of the wound may be necessary. If the condition is more severe, we might have to consider other therapeutic procedures on your nose, mouth, and pharynx.","Based on the symptoms described by the patient, they may have a salivary gland disorder causing pain, swelling, and difficulty eating or talking. To confirm the diagnosis, the patient should undergo a physical examination of the mouth and possibly imaging studies such as an ultrasound or CT scan of the salivary glands. Recommended medications for salivary gland disorders include antibiotics such as Cefadroxil to treat any underlying infection and pain relievers like ibuprofen. It is also important to maintain good oral hygiene and stay hydrated.
",0.7817995548248291,0.8018639087677002,0.7917046546936035
"Doctor, I have been having trouble with my eye alignment lately. I often see double and feel eye strain, especially when I read or look at something for a long time. ","Based on your symptoms, it seems like you might have an eye alignment disorder. I recommend that we conduct an ophthalmologic and otologic diagnosis and treatment to properly diagnose your condition. This will involve an eye exam and an evaluation of your ears to assess any potential underlying issues. Additionally, we may need to conduct other diagnostic procedures such as interviews and consultations to get a better understanding of your medical history and any other factors that may be contributing to your symptoms. Once we have a diagnosis, we can explore other therapeutic procedures to treat the problem, such as procedures on your eyelids, conjunctiva, cornea, extraocular muscles, and orbit. Depending on your specific situation, an occupational therapy assessment such as speech therapy may also be recommended to address any related functional impairments.","Based on the symptoms described, the patient may have an eye alignment disorder, which could be causing the double vision and eye strain. To confirm the diagnosis, the patient should undergo an ophthalmic examination and evaluation (eye exam) to assess the alignment of the eyes and check for conditions such as diabetic retinopathy or other extraocular muscle disorders. Recommended medications for this condition may include prism glasses to help with eye alignment, as well as possible treatments targeted at the underlying cause, such as diabetic retinopathy.
",0.8382934331893921,0.8148094415664673,0.8263846039772034
"Doctor, I have been experiencing headaches after my recent lumbar puncture. What tests do I need to take?","Based on your symptoms, we would need to perform a number of tests. These include an intravenous fluid replacement, a complete blood count (CBC), hematologic tests, an electrolytes panel, glucose measurement, kidney function tests, and liver function tests. These tests will help us to determine the cause of your headaches and develop an appropriate treatment plan.","Based on the symptoms described, the patient may have developed a subdural hemorrhage following the lumbar puncture, leading to headaches. To confirm the diagnosis, the patient should undergo a CT scan of the head to visualize any bleeding in the brain. Treatment for subdural hemorrhage typically involves close monitoring, bed rest, and in severe cases, surgical intervention to drain the accumulated blood.
",0.7748896479606628,0.7862310409545898,0.7805191278457642
Averages,,,0.7995149612426757,0.8074962258338928,0.8033697128295898
