Question,Label,Navipath,precision,recall,f1
"Doctor, I am suffering from liver cancer. What medications do I need to take?","You will need to take Spironolactone, Oxycodone, Tacrolimus (Prograf), Lactulose, Sorafenib, Dexamethasone, Aprepitant (Emend), Gemcitabine (Gemzar), Valganciclovir (Valcyte), Palonosetron (Aloxi), Mycophenolate Mofetil (Cellcept), and Nystatin Topical Product.","Based on the symptoms described, the patient may have liver cancer. To confirm the diagnosis, the patient should undergo a liver biopsy, imaging studies such as CT scans or MRIs, and blood tests including liver function tests and tumor markers. Treatment for liver cancer may include surgery, chemotherapy, radiation therapy, targeted therapy, or immunotherapy depending on the stage and extent of the cancer.
",0.7099503874778748,0.7108891010284424,0.7104194164276123
"Doctor, I have a condition called atelectasis. What is the required medication for it?",The medications required for atelectasis may vary depending on the cause and severity of the condition. But you may need to take Tiotropium (Spiriva) to help open up your airways and improve breathing.,"Based on the symptoms described, the patient likely has atelectasis, which is the collapse or closure of a lung resulting in breathing difficulties. To confirm the diagnosis, the patient should undergo a chest X-ray and possibly a CT scan to visualize the lungs. Treatment for atelectasis involves addressing the underlying cause, such as removing blockages or providing oxygen therapy. In some cases, bronchodilators or mucolytic agents may be prescribed to help open the airways.
",0.7843413949012756,0.821211576461792,0.8023532032966614
"Hi doctor, I injured my hand and it's been really painful lately. What medications do you recommend?","Based on your injury, I suggest taking Etodolac to relieve the pain and inflammation. Additionally, Capsaicin Topical can provide relief by numbing the affected area.","Based on the symptoms described, the patient may have a hand fracture. To confirm the diagnosis, the patient should undergo a physical examination and imaging studies like a plain X-ray of the hand. Recommended medications for pain management in a hand fracture include over-the-counter pain relievers such as acetaminophen or ibuprofen. If there are signs of infection or severe pain, the patient may need prescription pain medication or antibiotics.",0.764096200466156,0.8022885322570801,0.7827267050743103
"Doctor, I've been experiencing pain in my upper-right abdomen and I was diagnosed with Choledocholithiasis. What medications do I need to take for it?","For your condition, you will need to take a combination of medications, including Metronidazole, Midazolam (Versed), Zosyn, Ampicillin, Mivacurium, Plasma Protein Fraction (Plasmanate), Vitamin K 1 (Mephyton), Desipramine, Cinacalcet (Sensipar), Barium Sulfate and Sulfamethoxazole (Bactrim).","The patient is diagnosed with Choledocholithiasis, which is the presence of gallstones in the common bile duct. To confirm the diagnosis, the patient should undergo imaging tests such as an ultrasound, CT scan, or MRI to visualize the stones. Recommended medications for Choledocholithiasis include Ursodeoxycholic acid to dissolve smaller stones, and in cases of larger stones, endoscopic retrograde cholangiopancreatography (ERCP) may be needed to remove the stones.",0.7413739562034607,0.7534427642822266,0.7473596334457397
"Doc, I suffered an injury to my hip and I have been experiencing a lot of pain. What medications do I need to take?",I would prescribe you 'Hydrocodone' for pain relief and 'Metaxalone' (Skelaxin) for muscle relaxant.,"Based on the symptoms described, the patient may have suffered an injury to the hip, leading to hip pain. To confirm the diagnosis, the patient should undergo a physical examination of the hip, possibly followed by imaging studies such as X-rays or an MRI to assess the extent of the injury. Recommended medications for pain relief in hip injuries include nonsteroidal anti-inflammatory drugs (NSAIDs) such as ibuprofen or naproxen. In more severe cases, the patient may require prescription-strength pain medications or muscle relaxants. Physical therapy may also be recommended to aid in recovery and improve hip function.",0.715315043926239,0.7923257946968079,0.7518535852432251
"Doctor, I have been diagnosed with Cirrhosis. What medications do I need to take for it?","You will need to take a combination of medications, including Furosemide, Spironolactone, Lactulose, Tacrolimus (Prograf), Nadolol, Mycophenolate Mofetil (Cellcept), Propranolol, Thiamine, Methadone, Ursodiol (Urso), Epoetin Alfa (Procrit), and Peginterferon Alfa-2B (Sylatron).","Based on the patient's diagnosis of Cirrhosis, they should undergo Liver function tests to confirm the diagnosis. Medications recommended for Cirrhosis include Lactulose to help manage the symptoms and complications of the disease.",0.7294808626174927,0.7278956174850464,0.7286874055862427
"Doctor, I have been experiencing chest pain and I was diagnosed with Thoracic aortic aneurysm. What medication do you recommend?","Based on your condition, I would recommend a combination of medications including Metoprolol, Nitroglycerin, Hydralazine, Labetalol, Esmolol, Pentoxifylline, Colchicine, Amiodarone, Nitroprusside, Estropipate (Ogen), and Dexamethasone Ophthalmic.","Based on the symptoms described, the patient has a Thoracic aortic aneurysm. To confirm the diagnosis, the patient should undergo a Hematologic test (Blood test) and a Radiographic imaging procedure. Recommended medications for Thoracic aortic aneurysm include Metoprolol and Amiodarone.",0.7652096152305603,0.7791292667388916,0.7721066474914551
"Doctor, I have been diagnosed with congenital rubella. What medications do I need to take?","You need to take Thymoglobulin, which is a Rabbit Anti-Human T-Lymphocyte Globulin, to boost your immune system. Additionally, you need to take Grepafloxacin, a strong antibiotic to treat any infections that may arise due to your weakened immune system.","Based on the diagnosis provided, the patient has congenital rubella. To confirm the diagnosis, the patient should undergo serologic testing for rubella antibodies. Treatment for congenital rubella involves supportive care to manage symptoms such as fever, rash, and joint pain. In some cases, antiviral medications may be considered.",0.7520084381103516,0.736944317817688,0.7444002032279968
"Hi doctor, I have been experiencing vision problems and I was diagnosed with diabetic retinopathy. What medications do I need to take?","I will prescribe you with a combination of Insulin, Insulin Glargine (Lantus), Tropicamide Ophthalmic, Phenylephrine (Duramax), Insulin, Aspart, Human (Novolog), Brimonidine Ophthalmic, Prednisolone Ophthalmic, Bevacizumab (Avastin), Rosiglitazone (Avandia), Latanoprost, Gatifloxacin (Zymar), and Timolol to manage your diabetic retinopathy.","Based on the symptoms described, the patient has diabetic retinopathy, a complication of diabetes affecting the eyes. To confirm the diagnosis, the patient should undergo an ophthalmic examination and evaluation (eye exam) and a hemoglobin A1c measurement (Hemoglobin A1c test). Recommended medications for diabetic retinopathy include Timolol and Latanoprost to help manage the condition and prevent further vision loss.",0.7955425977706909,0.7915246486663818,0.7935285568237305
"Hi doctor, I have been experiencing chronic pain and fatigue all over my body. I have been diagnosed with fibromyalgia. What medications would you prescribe for this condition?","I would recommend a combination of Pregabalin (Lyrica), Nortriptyline, and Milnacipran (Savella) to help with the pain and fatigue. In addition, Chlorzoxazone can be used for muscle spasms and Tizanidine can help with sleep. If you experience migraines, I suggest you try Naratriptan (Amerge) or Ergotamine. Rifaximin can help with irritable bowel syndrome, and for dry mouth, I would prescribe Cevimeline (Evoxac) or Clemastine (Tavist).","Based on the symptoms described, the patient likely has fibromyalgia. To confirm the diagnosis, the patient should undergo a thorough physical examination focusing on tender points and a review of their medical history. There is no specific test for fibromyalgia, but the examination can help rule out other conditions with similar symptoms. Recommended medications for fibromyalgia include pain relievers such as acetaminophen, nonsteroidal anti-inflammatory drugs (NSAIDs) like ibuprofen, and medications specifically approved for fibromyalgia such as pregabalin or duloxetine.",0.7534400820732117,0.7875843644142151,0.7701339721679688
"Doctor, I have been experiencing severe abdominal pain for a while now, and I was recently diagnosed with Ischemia of the Bowel. Can you please prescribe some medication for it?","Yes, for the treatment of Ischemia of the Bowel, I am going to prescribe you with Metronidazole, Zosyn, Mesalamine (Asacol), Heparin, and Sucralfate (Carafate) to tackle bacterial infections and blood clots that may have caused the condition. You will also need to take Oxygen to help with respiration, Sodium Phosphate to prevent dehydration, and Guar Gum to aid digestion. For pain relief, I'll prescribe Fentanyl, Meperidine (Demerol) and Droperidol. Additionally, Cefoxitin will help keep infections at bay.","Based on the symptoms described and the diagnosis of Ischemia of the Bowel, the patient should undergo tests such as a Complete Blood Count (CBC), Glucose measurement, and potentially imaging studies like Magnetic Resonance Imaging (MRI) to confirm the diagnosis. Medications that may be recommended to treat Ischemia of the Bowel include antibiotics such as Zosyn, which is often used to treat peritonitis, a condition related to bowel ischemia. Surgical intervention may also be necessary depending on the severity of the ischemia.",0.79827880859375,0.7606623768806458,0.7790167927742004
"Hi doctor, I was diagnosed with fetal alcohol syndrome a few years ago and it's been affecting my daily life. Is there any medication that can help me manage it?","Yes, there are several medications that may be helpful for you. I would recommend trying Adderall, Methylphenidate, Clonidine, Trazodone, Cyproheptadine, Guanfacine (Intuniv), Nicotine, Atomoxetine (Strattera), Olanzapine (Zyprexa), Lamotrigine (Lamictal), or Risperidone. ","Based on the symptoms described, the patient likely has fetal alcohol syndrome. To confirm the diagnosis, the patient should undergo genetic testing and a comprehensive physical examination. Unfortunately, there is no specific medication to cure fetal alcohol syndrome, but management typically involves early intervention services, counseling, and supportive care to address the symptoms and complications associated with the condition. It is essential to work closely with healthcare providers to develop a personalized treatment plan.",0.6958222985267639,0.6774398684501648,0.686508059501648
"Hey, doctor. I am having extreme abdominal pain, fever, and nausea. I think I might have peritonitis.","Based on my diagnosis, it's confirmed that you have peritonitis. You need to take a combination of medications such as metronidazole, fentanyl, vancomycin, ceftazidime, Zosyn, cinacalcet (Sensipar), rocuronium, cefoxitin, iohexol (Omnipaque), diatrizoate, and sennosides, Usp (Perdiem) to treat this disease.","Based on the symptoms described, the patient may have peritonitis. To confirm the diagnosis, the patient should undergo a physical examination focusing on the abdomen, as well as imaging studies like a CT scan or ultrasound. Laboratory tests such as blood tests and peritoneal fluid analysis may also be necessary. The recommended medication for treating peritonitis is Vancomycin, a broad-spectrum antibiotic effective against many types of bacteria.",0.796296238899231,0.760887861251831,0.778189480304718
"Hello doctor, I have been diagnosed with an injury to the abdomen. Can you please suggest some medications for me? ","Yes. As per your diagnosis, you will be needing a combination of medications. These medications include Vecuronium, Bisacodyl (The Magic Bullet), Memantine (Namenda), Sennosides, Usp (Perdiem), Zosyn, Mecamylamine, Grepafloxacin (Raxar), Malathion Topical, and Gemtuzumab (Mylotarg).","Based on the symptoms described, the patient may have an abdominal injury. To confirm the diagnosis, the patient should undergo a physical examination of the abdomen, imaging studies such as a CT scan or ultrasound, and possibly blood tests to assess for any internal damage. The recommended medications for an abdominal injury include pain relievers such as acetaminophen or ibuprofen for pain management, and possibly antibiotics if there is a risk of infection. It is crucial for the patient to follow the treatment plan provided by the healthcare provider and avoid any strenuous activities that may worsen the injury.",0.724787712097168,0.7616450190544128,0.7427594065666199
"Hi doctor, I was diagnosed with Acute Pancreatitis. What medications are required for it?","For Acute Pancreatitis, you will need Ondansetron (Zofran) to help relieve nausea and vomiting, Hydromorphone (Dilaudid) for pain relief, Zosyn and Cefotetan to treat bacterial infection, Diatrizoate and Iohexol (Omnipaque) for diagnostic imaging, Chlordiazepoxide for anxiety management, Pancrelipase (Pancrease) and Pancreatin to aid digestion, Benzylpenicilloyl Polylysine (Pre-Pen) to test for penicillin allergy, and Glucagon to decrease pancreatic secretions.","The patient has been diagnosed with Acute Pancreatitis. To confirm the diagnosis, the patient should undergo blood tests such as serum amylase and lipase levels, imaging tests like ultrasound or CT scan of the abdomen, and possibly a pancreatic function test. Treatment for Acute Pancreatitis typically involves hospitalization for intravenous fluid replacement, pain management with analgesics, and pancreatic enzyme replacement therapy such as Pancreatin.",0.8050588369369507,0.7580347061157227,0.7808393836021423
"Doctor, I've been experiencing difficulty in breathing and wheezing lately. I feel like my chest is tight and it's hard to take a deep breath. ","It sounds like you may be experiencing symptoms of asthma. Based on your symptoms, I would suggest some medications for you. You should try Albuterol, Montelukast (Singulair), Fluticasone Nasal Product, Ipratropium, Levalbuterol (Xopenex), Combivent, Beclomethasone Nasal Product, Terbutaline, Prednisone or Prednisolone, and Budesonide.","Based on the symptoms described, the patient may have asthma. To confirm the diagnosis, the patient should undergo spirometry, which measures the airflow in and out of the lungs. Recommended medications for asthma include inhaled corticosteroids (e.g., fluticasone), long-acting beta-agonists (e.g., salmeterol), and rescue inhalers like albuterol for quick relief of symptoms.",0.778191089630127,0.8101060390472412,0.7938278913497925
