Question,Label,my_results,precision,recall,f1
"Doctor, I have been experiencing sudden and frequent panic attacks. I don't know what to do.","Well, based on what you're telling me, it sounds like you may be suffering from panic disorder. The best course of action is to start with psychotherapy and mental health counseling. Additionally, we should conduct an electrocardiogram to make sure that there are no physical issues causing your panic attacks. We will also need to perform a depression screen and a toxicology screen to rule out any other underlying causes. Finally, I would recommend a comprehensive psychological and psychiatric evaluation and therapy to help manage your symptoms.","Based on the symptoms described, the patient may have Panic Disorder. To confirm the diagnosis, the patient should undergo a thorough evaluation by a mental health professional. Recommended medications for Panic Disorder include selective serotonin reuptake inhibitors (SSRIs) such as sertraline or paroxetine, and benzodiazepines like alprazolam for acute relief of symptoms. Cognitive-behavioral therapy (CBT) is also an effective treatment for Panic Disorder.",0.7762060165405273,0.783998429775238,0.7800827026367188
"Doctor, I have been experiencing a hoarse voice for a few weeks now and it's not getting any better despite taking medication. What could be the problem?","It's possible that you have a vocal cord polyp. To confirm this, we need to conduct tracheoscopy and laryngoscopy with a biopsy. We may also need to conduct an occupational therapy assessment such as speech therapy, other diagnostic procedures like an interview or consultation, physical therapy exercises, as well as diagnostic procedures on your nose, mouth, and pharynx to rule out any other underlying conditions. Additionally, we may need to evaluate your eyes and ears for any related conditions, such as ophthalmologic and otologic diagnosis and treatment.","Based on the symptoms described, the patient may have laryngitis, which is inflammation of the vocal cords. To confirm the diagnosis, the patient should undergo a physical examination of the throat and possibly a laryngoscopy, which is an examination of the vocal cords using a scope. Recommended medications for laryngitis include anti-inflammatory drugs such as ibuprofen, as well as steroids to reduce inflammation. It is also recommended to rest the voice and avoid smoking and irritants.",0.8048405051231384,0.7995995283126831,0.8022115230560303
"Hi, Doctor. I think I might have Turner syndrome. ","Okay, in that case, you will need to undergo a complete physical skin exam, an ultrasonography, and some other diagnostic procedures such as an interview, evaluation, and consultation. Additionally, we'll need to perform an echocardiography, examine your breast, and check your eyes and ears for any issues. We'll also do a depression screening to assess your mental health.","Based on the symptoms described, the patient may have Turner syndrome. To confirm the diagnosis, the patient should undergo a physical examination of the breast, ultrasonography (ultrasound) to check for ovarian torsion, and evaluation for hip pain and spondylitis. Recommended medications for Turner syndrome may include hormone therapy to address specific symptoms and growth hormone therapy in some cases.
",0.7961787581443787,0.8210733532905579,0.8084344267845154
"Doctor, I've been experiencing a condition called cryptorchidism. My testicles have not descended properly into the scrotum. What medical tests do I need to take?","You will need to undergo a complete physical skin exam to see the extent of the undescended testicles. Then, we need to conduct Ultrasonography (Ultrasound) to find out the exact location of the testicles. After that, a pelvis exam and rectal examination will be done to determine if the testicles have descended into the pelvic region. If not, then other OR therapeutic procedures related to male genital or nervous system procedures may be required. We will also do an occupational therapy assessment to assess your speech therapy.","Based on the symptoms described, the patient likely has cryptorchidism, a condition where the testicles do not descend properly into the scrotum. To confirm the diagnosis, the patient should undergo a physical examination of the scrotum. Treatment for cryptorchidism may involve surgery, known as orchidopexy, to bring the testicle down into the scrotum. Medications are not typically used to treat cryptorchidism.
",0.7800853252410889,0.7948838472366333,0.787415087223053
"Doctor, I think I've been poisoned. I drank some ethylene glycol by mistake. ","I'm sorry to hear that. We need to run a few tests to determine the extent of the poisoning. We will need to give you intravenous fluid replacement to help flush out the toxin. We'll also need to do hematologic tests, a toxicology screen, and a complete blood count to assess the damage. Additionally, we will need to do an electrocardiogram, measure your glucose level and check your blood-alcohol level.","Based on the symptoms described, the patient is likely suffering from poisoning due to ethylene glycol. To confirm the diagnosis, the patient should undergo blood tests to check for ethylene glycol levels and a urinalysis to look for metabolites of ethylene glycol. Treatment for ethylene glycol poisoning involves administering fomepizole or ethanol to inhibit the metabolism of ethylene glycol, along with supportive care such as intravenous fluids and dialysis to remove the toxic compound from the body.
",0.7532740831375122,0.7956610321998596,0.7738875150680542
"Doctor, I've been having discomfort and dryness in my vagina for a while now. I also experience pain during sex. What could be the problem and what tests do I need?","Based on your symptoms, it sounds like you may have atrophic vaginitis. To confirm this, we would need to perform a pelvic exam, a pap smear and a urinalysis. Additionally, to rule out any underlying conditions and ensure comprehensive preventive care, I would recommend a mammogram, breast examination, rectal examination and a complete physical skin exam.","Based on the symptoms described, the patient may have Atrophic vaginitis, which can cause discomfort, dryness in the vagina, and pain during sex. To confirm the diagnosis, the patient should undergo a pelvic exam and possibly a vaginal swab to test for any infections. Recommended medications for Atrophic vaginitis include estrogen therapy in the form of vaginal creams, tablets, or rings to help restore vaginal moisture and relieve symptoms. It is essential to follow up with a healthcare provider for proper evaluation and treatment.
",0.8267042636871338,0.8541527986526489,0.8402044177055359
"Hello doctor, I think I fractured my hand while playing basketball. It hurts a lot and I can't move it properly.","I'm sorry to hear that. Based on your symptoms, I recommend we conduct a radiographic imaging procedure, specifically a plain x-ray, to determine the extent and location of the fracture. We may also need to apply a splint or orthopedic casting to support and immobilize the bone while it heals. In addition, we may consider traction, other wound care, and physical therapy exercises to promote healing and improve mobility.","Based on the symptoms described, the patient may have a fracture of the hand. To confirm the diagnosis, the patient should undergo a plain X-ray of the hand to check for any fractures. Treatment for a hand fracture may include immobilization with a cast or splint and pain management with over-the-counter pain medications like acetaminophen or ibuprofen. In some cases, surgery may be necessary to realign the bones.
",0.8225046396255493,0.8203818798065186,0.8214418888092041
"Hi Doctor, I have a problem with my mouth. It's painful and there's swelling around it. It's difficult to eat or talk properly.","It sounds like you might have cellulitis or an abscess in your mouth. As a first step, we need to perform a complete physical skin exam to determine the extent of the issue. Depending on the severity of the condition, we might need to perform an excision or incision and drainage. We might also need to do a biopsy to determine the underlying cause. Additionally, wound care management and a culture of the wound may be necessary. If the condition is more severe, we might have to consider other therapeutic procedures on your nose, mouth, and pharynx.","Based on the symptoms described, the patient may have a Cellulitis or abscess of the mouth. To confirm the diagnosis, the patient should undergo a complete physical skin exam and possibly an excision procedure. Recommended medications for Cellulitis or abscess of the mouth include antibiotics such as penicillin or clindamycin to treat the infection. It is also recommended to maintain good oral hygiene and apply warm compresses to the affected area.
",0.8388760089874268,0.8233626484870911,0.8310469388961792
"Doctor, I have been having trouble with my eye alignment lately. I often see double and feel eye strain, especially when I read or look at something for a long time. ","Based on your symptoms, it seems like you might have an eye alignment disorder. I recommend that we conduct an ophthalmologic and otologic diagnosis and treatment to properly diagnose your condition. This will involve an eye exam and an evaluation of your ears to assess any potential underlying issues. Additionally, we may need to conduct other diagnostic procedures such as interviews and consultations to get a better understanding of your medical history and any other factors that may be contributing to your symptoms. Once we have a diagnosis, we can explore other therapeutic procedures to treat the problem, such as procedures on your eyelids, conjunctiva, cornea, extraocular muscles, and orbit. Depending on your specific situation, an occupational therapy assessment such as speech therapy may also be recommended to address any related functional impairments.","Based on the symptoms described, the patient may have an eye alignment disorder, possibly due to underlying conditions such as glaucoma or corneal disorders. To confirm the diagnosis, the patient should undergo an ophthalmic examination and evaluation, which may include tests such as a visual field test and intraocular pressure measurement. Recommended medications for glaucoma include Bimatoprost Ophthalmic to help reduce eye pressure. Treatment for corneal disorders may vary based on the specific condition identified during the evaluation.
",0.8337152004241943,0.8041454553604126,0.8186633586883545
"Doctor, I have been experiencing headaches after my recent lumbar puncture. What tests do I need to take?","Based on your symptoms, we would need to perform a number of tests. These include an intravenous fluid replacement, a complete blood count (CBC), hematologic tests, an electrolytes panel, glucose measurement, kidney function tests, and liver function tests. These tests will help us to determine the cause of your headaches and develop an appropriate treatment plan.","Based on the symptoms described, the patient may have post-lumbar puncture headache. To confirm the diagnosis, the patient should consult a healthcare provider who may recommend a physical examination and possibly a head CT scan or MRI to rule out any complications from the lumbar puncture. Recommended medications for post-lumbar puncture headache include over-the-counter pain relievers such as acetaminophen or nonsteroidal anti-inflammatory drugs (NSAIDs) like ibuprofen. In severe cases, prescription medications like triptans or opioids may be considered.
",0.7456096410751343,0.7840054035186768,0.7643256187438965
